,target_flag
1100,1.0
1217,1.0
1149,1.0
1020,0.0
626,1.0
1126,1.0
440,1.0
488,1.0
657,1.0
625,1.0
662,0.0
574,0.0
904,0.0
296,1.0
1236,1.0
711,0.0
953,0.0
337,0.0
719,1.0
324,0.0
1070,0.0
449,0.0
514,1.0
1092,1.0
787,1.0
863,1.0
426,1.0
1263,0.0
1150,0.0
590,1.0
931,1.0
585,0.0
815,1.0
1155,1.0
1203,1.0
907,1.0
933,0.0
1031,1.0
807,1.0
472,1.0
702,1.0
683,1.0
627,0.0
856,1.0
767,1.0
802,1.0
1111,1.0
977,0.0
1115,1.0
629,1.0
945,1.0
687,1.0
630,0.0
826,1.0
329,1.0
1240,1.0
1191,1.0
910,1.0
688,0.0
813,1.0
1003,1.0
1180,1.0
1014,1.0
531,0.0
918,1.0
946,1.0
1103,1.0
340,1.0
670,0.0
348,0.0
454,0.0
352,0.0
478,0.0
1117,1.0
589,1.0
721,0.0
362,0.0
940,1.0
436,1.0
652,0.0
809,1.0
979,0.0
888,1.0
1146,0.0
1219,1.0
434,1.0
992,1.0
491,1.0
558,1.0
1075,1.0
978,1.0
1044,1.0
922,1.0
1157,1.0
792,1.0
1227,1.0
762,0.0
1303,0.0
1305,1.0
747,1.0
648,1.0
889,0.0
1164,1.0
435,0.0
1137,1.0
860,1.0
1036,1.0
1143,1.0
1179,1.0
502,1.0
1057,1.0
1147,1.0
1224,1.0
682,0.0
833,1.0
1187,1.0
1292,1.0
932,1.0
664,1.0
851,1.0
1161,0.0
1247,1.0
1125,0.0
416,1.0
1159,1.0
532,1.0
415,1.0
697,1.0
1085,1.0
1250,1.0
1230,1.0
1165,1.0
559,1.0
608,1.0
1257,1.0
458,1.0
327,1.0
919,1.0
619,0.0
1064,1.0
343,1.0
1163,0.0
671,0.0
1241,1.0
397,1.0
1136,1.0
346,1.0
1139,1.0
1006,1.0
1198,1.0
660,1.0
817,1.0
782,1.0
954,0.0
461,1.0
1089,1.0
1015,1.0
1160,1.0
1190,1.0
537,1.0
335,1.0
736,1.0
828,1.0
476,1.0
1062,0.0
520,1.0
844,0.0
1197,1.0
464,0.0
997,1.0
1034,1.0
494,1.0
655,1.0
1030,0.0
1043,1.0
1218,1.0
724,0.0
1174,1.0
700,1.0
470,1.0
615,1.0
1170,1.0
1093,1.0
1182,1.0
588,1.0
987,1.0
1114,1.0
808,1.0
1131,1.0
1004,1.0
1215,1.0
1280,1.0
557,1.0
884,1.0
413,1.0
360,1.0
1072,1.0
483,1.0
1246,1.0
606,1.0
1211,0.0
1301,0.0
755,0.0
1029,1.0
1081,1.0
948,0.0
637,1.0
1001,1.0
1047,1.0
649,1.0
734,1.0
556,1.0
1068,0.0
587,1.0
1079,0.0
369,1.0
366,1.0
314,1.0
852,1.0
1274,1.0
845,1.0
1239,1.0
533,1.0
1276,1.0
854,1.0
1278,1.0
751,0.0
460,0.0
1176,0.0
998,1.0
473,1.0
1135,1.0
336,1.0
887,1.0
699,1.0
548,1.0
355,0.0
1205,1.0
689,1.0
693,1.0
804,1.0
555,1.0
757,1.0
718,1.0
1074,1.0
735,1.0
325,1.0
1088,1.0
995,1.0
690,0.0
824,1.0
1060,1.0
959,1.0
1013,1.0
1268,1.0
1208,0.0
1140,1.0
1266,1.0
1192,1.0
667,1.0
492,1.0
785,0.0
899,1.0
414,1.0
969,1.0
722,0.0
1118,1.0
1000,1.0
521,1.0
665,0.0
384,0.0
961,0.0
850,1.0
1054,0.0
908,1.0
1171,1.0
839,1.0
303,1.0
659,1.0
1199,1.0
960,0.0
976,0.0
1145,1.0
624,1.0
1124,1.0
801,1.0
927,1.0
361,1.0
571,1.0
1132,1.0
1193,1.0
465,1.0
605,1.0
1040,0.0
354,0.0
1283,1.0
323,1.0
359,0.0
583,1.0
381,1.0
1288,0.0
727,1.0
527,1.0
1106,0.0
805,1.0
759,1.0
1076,0.0
581,1.0
822,1.0
952,1.0
600,1.0
1210,1.0
563,1.0
546,1.0
750,1.0
732,1.0
1116,0.0
1222,1.0
504,1.0
837,1.0
685,0.0
505,1.0
901,1.0
1189,0.0
517,0.0
561,1.0
570,1.0
874,1.0
1229,0.0
418,1.0
730,1.0
729,1.0
742,1.0
645,1.0
1035,0.0
613,0.0
1282,1.0
591,1.0
342,1.0
372,0.0
344,0.0
1109,1.0
1066,1.0
471,1.0
1279,1.0
1194,1.0
293,1.0
1297,1.0
778,1.0
480,1.0
836,1.0
669,0.0
706,0.0
970,1.0
1202,1.0
876,1.0
882,0.0
1026,1.0
771,1.0
564,1.0
656,1.0
786,1.0
1127,1.0
321,1.0
902,1.0
691,1.0
900,1.0
864,1.0
1080,1.0
479,1.0
1213,1.0
509,0.0
913,1.0
1253,1.0
1156,1.0
453,0.0
618,0.0
1188,0.0
380,1.0
1023,1.0
1051,1.0
968,1.0
597,1.0
632,1.0
319,1.0
1039,1.0
1046,0.0
1005,1.0
540,1.0
765,1.0
917,1.0
1287,1.0
912,1.0
567,0.0
310,0.0
1307,0.0
1185,1.0
1129,1.0
604,1.0
633,0.0
789,1.0
825,0.0
1113,1.0
1252,1.0
1272,0.0
788,0.0
1009,0.0
315,1.0
1090,0.0
495,1.0
859,1.0
1251,1.0
1019,1.0
741,1.0
725,1.0
738,0.0
799,1.0
1232,0.0
1071,1.0
842,1.0
875,1.0
781,1.0
1269,0.0
1011,0.0
576,0.0
752,1.0
783,0.0
